,angle,distance,servo
91,2.619902831860863,2521.0,85.0
92,2.643355693684537,2509.0,85.0
93,2.6659904324213386,2515.5,85.0
94,2.742075879500466,1658.25,85.0
95,2.812979880362736,1478.75,85.0
96,2.8364327421864095,1470.75,85.0
97,2.931062312567977,1386.0,85.0
98,2.9550605897828994,1383.75,85.0
99,3.0014208980389987,1334.25,85.0
100,3.024601052167048,1339.0,85.0
101,3.047781206295098,1320.0,85.0
102,3.0706886527275237,1315.25,85.0
103,3.0941415145511972,1322.25,85.0
104,3.1178670840704954,1312.75,85.0
105,3.141047238198545,1309.5,85.0
106,3.1639546846309705,1307.25,85.0
107,3.1874075464546445,1307.0,85.0
108,3.2116785313651905,1308.0,85.0
109,3.234313270101992,1305.25,85.0
110,3.2577661319256657,1310.25,85.0
111,3.280128162966843,1315.5,85.0
112,3.3038537324861412,1322.0,85.0
113,3.3270338866141906,1329.0,85.0
114,3.3504867484378646,1319.5,85.0
115,3.3742123179571624,1305.75,85.0
116,3.3963016413027156,1313.75,85.0
117,3.4200272108220138,1338.5,85.0
118,3.4434800726456873,1358.75,85.0
119,3.4658421036868647,1366.0,85.0
120,3.4892949655105383,1363.75,85.0
121,3.512475119638588,1371.5,85.0
122,3.5959236744995673,3245.25,85.0
123,3.619649244018865,3285.75,85.0
124,3.987531925415795,929.0,85.0
125,4.034710356758766,947.5,85.0
126,4.09061543436171,738.0,85.0
127,4.113522880794135,724.0,85.0
128,4.1369757426178095,712.25,85.0
129,4.282056236689838,406.75,85.0
130,4.303327436948519,395.75,85.0
131,4.332507160380299,386.25,85.0
132,4.359232514551462,378.0,85.0
133,4.383230791766384,370.0,85.0
134,4.408865315155051,362.5,85.0
135,4.432863592369973,356.25,85.0
136,4.452498546454909,350.5,85.0
137,4.476769531365456,345.0,85.0
138,4.507040085579732,339.25,85.0
139,4.529674824316533,334.0,85.0
140,4.549037070705846,329.25,85.0
141,4.57712596335513,324.75,85.0
142,4.603851317526292,320.0,85.0
143,4.6305766716974555,315.25,85.0
144,4.648029964217399,309.75,85.0
145,4.681300303083541,302.75,85.0
146,4.706662118776584,298.5,85.0
147,4.726569780557144,297.75,85.0
148,4.7554767962933,295.5,85.0
149,4.770203011857002,291.0,85.0
150,4.80920021233125,284.25,85.0
151,4.81847227398247,277.5,85.0
152,4.850379074370491,271.5,85.0
153,4.878195259324151,265.5,85.0
154,4.897557505713463,260.75,85.0
155,4.917192459798399,257.5,85.0
156,4.95700778335952,253.5,85.0
157,4.9720067066188465,251.25,85.0
158,5.00009559926813,251.75,85.0
159,5.049728399871719,251.5,85.0
160,5.047546738306726,249.5,85.0
161,5.078908123303499,246.25,85.0
162,5.107542431344031,243.0,85.0
163,5.142721724079542,241.0,85.0
164,5.170265201337577,239.75,85.0
165,5.1686289551638325,238.75,85.0
166,5.198354093986861,238.5,85.0
167,5.2354423405917405,239.0,85.0
168,5.25862249471979,241.5,85.0
169,5.48006114356657,456.25,85.0
170,5.562146159949429,588.0,85.0
171,5.584780898686231,575.75,85.0
172,5.611778960553018,565.5,85.0
173,5.633868283898571,554.75,85.0
174,5.655957607244124,545.25,85.0
175,5.683228376806536,537.0,85.0
176,5.7074993617170815,529.0,85.0
177,5.729043269671386,521.75,85.0
178,5.752768839190685,515.0,85.0
179,5.862942748222827,406.75,85.0
180,5.885850194655252,400.5,85.0
181,5.906303271827061,396.0,85.0
182,5.929756133650734,392.5,85.0
183,5.957572318604394,390.0,85.0
184,5.977752688080579,388.5,85.0
185,6.004750749947366,388.25,85.0
186,6.027658196379791,388.5,85.0
187,6.051111058203466,389.5,85.0
188,6.075654750809636,390.75,85.0
189,6.098834904937685,392.75,85.0
190,6.1181971513269975,395.5,85.0
191,6.139195643890054,398.75,85.0
192,6.163739336496224,402.75,85.0
0,0,0,0
0,6.183374290581161,408.25,80.0
1,1.2184579840485412,1750.5,80.0
2,1.2421835535678392,1734.75,80.0
3,1.265909123087137,1723.75,80.0
4,1.2885438618239387,1713.5,80.0
5,1.3119967236476124,1698.25,80.0
6,1.3354495854712862,1682.0,80.0
7,1.35890244729496,1669.0,80.0
8,1.3831734322055063,1658.75,80.0
9,1.4060808786379317,1646.0,80.0
10,1.4292610327659814,1639.5,80.0
11,1.4508049407202865,1638.5,80.0
12,1.4753486333264567,1631.5,80.0
13,1.4977106643676341,1626.0,80.0
14,1.521708941582556,1624.75,80.0
15,1.5448890957106058,1621.75,80.0
16,1.5680692498386555,1616.0,80.0
17,1.5907039885754568,1616.0,80.0
18,1.6138841427035067,1616.25,80.0
19,1.6376097122228046,1616.0,80.0
20,1.660244450959606,1620.5,80.0
21,1.6834246050876556,1623.0,80.0
22,1.7068774669113296,1626.5,80.0
23,1.7306030364306273,1633.75,80.0
24,1.7540558982543013,1635.0,80.0
25,1.7761452215998543,1636.5,80.0
26,1.8001434988147764,1642.0,80.0
27,1.8230509452472021,1650.5,80.0
28,1.8456856839840035,1661.5,80.0
29,1.8696839611989255,1673.25,80.0
30,1.8928641153269752,1688.75,80.0
31,1.9154988540637767,1701.5,80.0
32,1.9386790081918264,1712.5,80.0
33,1.9624045777111243,1725.25,80.0
34,1.9847666087523017,1738.5,80.0
35,2.008764885967224,1755.5,80.0
36,2.031399624704025,1773.75,80.0
37,2.0543070711364506,1794.5,80.0
38,2.076941809873252,1814.75,80.0
39,2.1263019027812167,1609.25,80.0
40,2.150027472300515,1589.25,80.0
41,2.17293491873294,1589.5,80.0
42,2.19611507286099,1603.0,80.0
43,2.284472366243203,2073.75,80.0
